Country,LIFE_LADDER,DEM_QUALITY,CONF_NATIONAL_GOV
Norway,7.599882603,1.399424195,0.622258931
Finland,7.553884506,1.257833362,0.521663755
Denmark,7.536103725,1.193127871,0.523774669
Switzerland,7.515328407,1.41956079,0.793133378
Iceland,7.504052639,1.340197742,0.39537321
Netherlands,7.432657242,1.214159906,0.575947165
Sweden,7.328833342,1.248877943,0.492546678
Canada,7.328809261,1.340607643,0.631149709
New Zealand,7.321904421,1.503618777,0.595298916
Australia,7.279570341,1.126227975,0.4656443
Israel,7.119210958,-0.101499796,0.421738207
Austria,7.062259436,1.15851146,0.443714052
Costa Rica,6.994811058,0.928500235,0.270098418
Germany,6.955450296,1.05202198,0.590308607
Ireland,6.935428381,1.103476048,0.573290408
Belgium,6.926577806,0.952584922,0.439100862
Luxembourg,6.834456205,1.457470775,0.686828107
United States,6.833773375,0.811326116,0.322071061
Czech Republic,6.671822309,1.015143156,0.425273299
United Kingdom,6.669864416,0.858012944,0.432721883
Malta,6.602118254,1.13606751,0.676874399
Argentina,6.562175989,0.297319412,0.398865536
Chile,6.555902958,0.737059772,0.252015695
Mexico,6.530230045,-0.432084978,0.26706861
Taiwan Province of China,6.481469393,0.945311844,0.337486476
Brazil,6.460857153,0.037094072,0.231337517
France,6.416416883,0.581403136,0.306115434
Guatemala,6.411951542,-0.461484313,0.370671511
Uruguay,6.399782896,1.107029617,0.486845702
Panama,6.3615942,0.476962939,0.352739662
Spain,6.349637747,0.710614383,0.290133998
Singapore,6.3265028,0.598771781,0.919587731
Malaysia,6.322121143,-0.066252634,0.436821789
Colombia,6.310643435,-0.482470915,0.266518965
Thailand,6.137701273,-0.998510987,0.651819199
Poland,6.084549189,0.815722078,0.297070555
El Salvador,6.079160452,0.088505019,0.279148296
Slovakia,6.07758379,0.851399004,0.324376419
Ecuador,6.039756298,-0.175339483,0.498387501
Nicaragua,5.968426228,-0.325389773,0.595002621
Uzbekistan,5.932451725,-1.139873445,0.975994796
Russia,5.925242186,-1.05560118,0.61676845
Japan,5.917167664,1.015652657,0.357533932
Latvia,5.910521984,0.638204694,0.307086706
Italy,5.901103973,0.699875832,0.249112479
South Korea,5.875387907,0.397086501,0.250919484
Romania,5.873180866,0.364408717,0.21368172
Slovenia,5.838731766,0.983091503,0.226224959
Bolivia,5.802026272,-0.117150929,0.444475532
Moldova,5.797628164,-0.152019829,0.12918343
Lithuania,5.788465261,0.879727662,0.323336557
Kazakhstan,5.741773367,-0.61073339,0.787986845
Paraguay,5.680552244,0.032523947,0.232867174
Estonia,5.639292002,0.925391197,0.338262051
Peru,5.638946056,-0.012470052,0.230485469
Cyprus,5.616889954,0.808951318,0.268682115
Mauritius,5.610003471,0.955853879,0.565379262
Serbia,5.535219908,0.18270538,0.419408828
Hong Kong S.A.R. of China,5.498420715,0.55514127,0.449610382
Philippines,5.489161015,-0.467109621,0.720020324
Greece,5.462569237,0.234016575,0.284902737
Belarus,5.448403597,-0.656588674,0.486346543
Turkey,5.420343637,-1.123691499,0.534906447
Hungary,5.396642447,0.5978522,0.291492119
Croatia,5.31115675,0.58482334,0.334129691
Portugal,5.263751745,1.059122324,0.286142305
Honduras,5.246795654,-0.42035754,0.343118578
Azerbaijan,5.225334883,-1.188744903,0.761269659
Lebanon,5.22134757,-1.060773134,0.162831783
Montenegro,5.214493752,0.131525457,0.362862602
Pakistan,5.185851574,-1.590030551,0.457635701
Macedonia,5.160667896,-0.271333508,0.312194631
Dominican Republic,5.150280476,0.217200369,0.49822934
Bosnia and Herzegovina,5.149021626,-0.260664642,0.203205042
Tajikistan,5.113965988,-1.229140341,0.859529316
Indonesia,5.089562654,-0.166144632,0.723032951
Bhutan,5.082128525,0.469944537,0.946393013
Nigeria,5.076241255,-1.110243499,0.412342191
Mongolia,5.019859791,0.564231753,0.288068883
Somaliland region,5.010792971,-2.136502385,0.739661127
Nepal,4.955988169,-0.610251427,0.479654953
Cameroon,4.927098513,-0.980195433,0.617428809
Kyrgyzstan,4.880954981,-0.608006626,0.555931419
Bulgaria,4.851480961,0.227980748,0.235459544
South Africa,4.828532696,0.238545991,0.533558995
Tunisia,4.826532602,-0.344369769,0.413853005
Sierra Leone,4.820785522,-0.163800731,0.676510066
Venezuela,4.804957628,-1.057277024,0.188339382
Gabon,4.746388435,-0.476264507,0.374064416
Iran,4.701343298,-1.142479837,0.731373996
Egypt,4.659639597,-1.331652045,0.695371836
Sri Lanka,4.611606598,-0.102882259,0.739669859
Senegal,4.60576725,0.067505736,0.626737386
Zambia,4.59535408,-0.008876365,0.663997322
Bangladesh,4.594807386,-0.880784333,0.803020298
Albania,4.558875799,0.230042428,0.453944102
Mozambique,4.549767494,-0.391963154,0.706727743
Ivory Coast,4.493792295,-0.605948448,0.679326177
Iraq,4.452957153,-1.669023275,0.426884025
Ethiopia,4.435501814,-1.452938914,0.787643492
Myanmar,4.423483133,-0.968096614,0.850885391
Congo (Brazzaville),4.405161858,-0.817266166,0.491172791
Kenya,4.376872778,-0.716358095,0.662821382
Armenia,4.336895704,-0.501688197,0.177820452
Burkina Faso,4.312282324,-0.407832533,0.66589424
Cambodia,4.311712027,-0.50641492,0.736272335
Mali,4.299063206,-0.904924005,0.548557192
Georgia,4.285163403,-0.065267459,0.299434215
India,4.260628223,-0.265263557,0.713410676
Ghana,4.250163794,0.235933095,0.479066014
Uganda,4.235473871,-0.702703923,0.637840182
Congo (Kinshasa),4.212338567,-1.760651529,0.278074473
Mauritania,4.197406769,-0.772975564,0.251380809
Chad,4.176012754,-1.215238988,0.479459733
Afghanistan,4.101511598,-1.881028533,0.292773351
Ukraine,3.996616602,-0.978808612,0.104978558
Niger,3.953049779,-0.675544798,0.574245244
Togo,3.823440194,-0.409003049,0.493280008
Benin,3.816010952,0.208993927,0.575875789
Lesotho,3.808204889,-0.109219924,0.609269023
Zimbabwe,3.71929574,-0.878060758,0.644678205
Malawi,3.672065496,0.000857868,0.560568094
Botswana,3.630450726,0.748883992,0.811174363
Madagascar,3.627799988,-0.368038893,0.486301988
Guinea,3.553774118,-0.596099377,0.537991807
South Sudan,3.479441762,-2.014863431,0.482760608
Haiti,3.461031318,-0.71838519,0.221591376
Yemen,3.404152393,-2.162281275,0.265439093
Rwanda,3.332989931,-0.632573783,0.993604362
Tanzania,3.281665802,-0.30805403,0.791940629
Liberia,3.028133631,-0.420204774,0.508517593
Central African Republic,2.693061113,-1.433270812,0.748754561